Query,APIs,APIClasses
"How to generate a ""big"" random number in Python?",random.randrange(); ,random; 
"Storing big numbers over 9,000 digits in Python",sys.getsizeof(); ,sys; 
Python: Calculate factorial of a non-integral number,math.gamma(); ,math; 
How to get first AND last element of tuple at the same time,operator.itemgetter(); ,operator; 
PYTHON : Simple random generation driving if/else,numpy.random.randint(); ,numpy.random; 
Python: formatting dictionary having tuple as keys,getattr(); ,
Call and receive output from Python script in Java?,exec(); ,
Reading UTF-8 file with codecs in IronPython,next(); ,
Call Python From Bat File And Get Return Code,sys.exit(); ,sys; 
Forming an insert statement with single quotes in Python with Postgres,msilib.View.Execute(); ,msilib.View; 
Python regex for Python function signatures,str.split(); ,str; 
"Find ""home directory"" in Python?",os.path.expanduser(); ,os.path; 
How can I log the package name in Python?,inspect.stack(); ,inspect; 
How to get process PID for manual lock mechanism in Python?,os.getpid(); ,os; 
How to save to file a dictionary with utf-8 strings correctly,codecs.open(); ,codecs; 
How to perform element-wise multiplication of two lists?,zip(); ,
Python: loop though list calling functions in namespace,getattr(); ,
Dump stacktraces of all active Threads,sys._current_frames(); ,sys; 
Read XML file which has xmlns in tag with python,xml.etree.ElementTree.register_namespace(); ,xml.etree.ElementTree; 
A fast way to find the largest N elements in an numpy array,numpy.partition(); ,numpy; 
converting list of string to list of integer,map(); ,
Creating Twisted TCP socket and sending test value,struct.pack(); ,struct; 
Get the data received in a Flask request, request.form.get(); , request.form; 
Python subprocess.Popen to create a new directory,asyncio.asyncio.subprocess.Process.wait(); ,asyncio.asyncio.subprocess.Process; 
Uploading file via base64,numpy.save(); ,numpy; 
Adding text to the front - Python,str.format(); ,str; 
Python convert long to date,time.ctime(); ,time; 
Python checking if a fork() process is finished,os.waitpid(); ,os; 
Sort a list of tuples by 2nd item (integer value),sorted(); ,
sort dictionary of objects,dict.items(); ,dict; 
How to specify time zone (UTC) when converting to Unix time? (Python),datetime.datetime.utctimetuple(); ,datetime.datetime; 
Doing the ls output magic in python,os.isatty(); ,os; 
Python: Create a global variable from a string?,globals(); ,
is there an equivalent __reload__ function as to __import__?,importlib.reload(); ,importlib; 
extract last two fields from split,str.split(); ,str; 
python removing unwanted characters after scanning mp3 meta-data,str.rstrip(); ,str; 
How to set the margins for a matplotlib figure?,matplotlib.pyplot.tight_layout(); ,matplotlib.pyplot; 
Printing non-ascii characters in python/jinja,str.encode(); ,str; 
Tkinter Canvas move item to top level,tag_lower(); ,
Comparing and updating array values in Python,sorted(); ,
How to do groupby in pandas with part of date string?,datetime.datetime.date(); ,datetime.datetime; 
How to have password echoed as asterisks,msvcrt.getch(); ,msvcrt; 
Python check if list of keys exist in dictionary,all(); ,
Fastest way to split a concatenated string into a tuple and ignore empty strings,str.strip(); ,str; 
writing tab separated values into a file,str.join(); ,str; 
How to store an IP in mySQL,socket.inet_aton(); ,socket; 
How can I get Json data with Python?,json.loads(); ,json; 
How to store a floating point number as text without losing precision?,repr(); ,
create_string_buffer how to get used size,len(); ,
